hotel_ID,property_feature
F1 Hotel Manila,Satellite/cable channels
F1 Hotel Manila,Shower
F1 Hotel Manila,Slippers
F1 Hotel Manila,Sofa
F1 Hotel Manila,Telephone
F1 Hotel Manila,Toiletries
F1 Hotel Manila,Towels
F1 Hotel Manila,Wi-Fi [free]
City Park Hotel Manila,Free Wi-Fi in all rooms!
City Park Hotel Manila,Internet
City Park Hotel Manila,Internet services
City Park Hotel Manila,Wi-Fi in public areas
City Park Hotel Manila,Breakfast [buffet]
City Park Hotel Manila,Anti-viral cleaning products
City Park Hotel Manila,Cashless payment service
City Park Hotel Manila,Daily disinfection in all rooms
City Park Hotel Manila,Daily disinfection in common areas
City Park Hotel Manila,First aid kit
City Park Hotel Manila,Free face masks
City Park Hotel Manila,Guest rooms seal after sanitization
City Park Hotel Manila,Hand sanitizer
City Park Hotel Manila,Hot water linen and laundry washing
City Park Hotel Manila,Hygiene certification
City Park Hotel Manila,Physical distancing of at least 1 meter
City Park Hotel Manila,Room sanitization opt-out available
City Park Hotel Manila,Rooms sanitized between stays
City Park Hotel Manila,Staff trained in safety protocol
City Park Hotel Manila,Sterilizing equipment
City Park Hotel Manila,Temperature check for guests and staff
City Park Hotel Manila,Air conditioning in public area
City Park Hotel Manila,Concierge
City Park Hotel Manila,Convenience store
City Park Hotel Manila,Daily housekeeping
City Park Hotel Manila,Elevator
City Park Hotel Manila,Luggage storage
City Park Hotel Manila,Safety deposit boxes
City Park Hotel Manila,Smoke-free property
City Park Hotel Manila,Smoking area
City Park Hotel Manila,Family room
City Park Hotel Manila,Allergy-free rooms
City Park Hotel Manila,CCTV in common areas
City Park Hotel Manila,CCTV outside property
City Park Hotel Manila,Fire extinguisher
City Park Hotel Manila,Front desk [24-hour]
City Park Hotel Manila,Non-smoking rooms
City Park Hotel Manila,Pets allowed
City Park Hotel Manila,Safety/security feature
City Park Hotel Manila,Security [24-hour]
City Park Hotel Manila,Smoke alarms
City Park Hotel Manila,Bicycle parking
