userID,Rating,hotel_ID
Karen,8.8,RedDoorz @ DBuilders Rooms Ph1 Taguig
Criszle,8.4,RedDoorz @ DBuilders Rooms Ph1 Taguig
Pi,8.8,RedDoorz @ DBuilders Rooms Ph1 Taguig
Marielle,9.6,Espacio Hotel
Camille,10.0,Espacio Hotel
Maria,9.6,Espacio Hotel
IMELIN,10.0,Espacio Hotel
Rochel,10.0,Espacio Hotel
Christian,10.0,Espacio Hotel
Marci,10.0,Espacio Hotel
Caroline,8.8,Espacio Hotel
alfredo,9.6,Espacio Hotel
CHARLES,7.2,Espacio Hotel
Joselito,8.8,Espacio Hotel
Sheila,10.0,Espacio Hotel
Mark,4.8,Espacio Hotel
David,9.6,Espacio Hotel
rubylyn,9.2,Espacio Hotel
David,9.6,Espacio Hotel
Joan,7.2,Espacio Hotel
Mark,9.2,Espacio Hotel
wu,9.6,Espacio Hotel
lady,10.0,Espacio Hotel
Sheila,10.0,mySTAY Hotel BGC West
Jehan,10.0,mySTAY Hotel BGC West
D'art,10.0,mySTAY Hotel BGC West
Ericka,10.0,mySTAY Hotel BGC West
Tizara,10.0,mySTAY Hotel BGC West
Maria,10.0,mySTAY Hotel BGC West
Tizara,10.0,mySTAY Hotel BGC West
Loriean,10.0,mySTAY Hotel BGC West
Karmela,10.0,mySTAY Hotel BGC West
Loriean,10.0,mySTAY Hotel BGC West
James,8.8,mySTAY Hotel BGC West
Donnabelle,8.8,mySTAY Hotel BGC West
Jinel,7.6,mySTAY Hotel BGC West
Lyka,8.4,mySTAY Hotel BGC West
Larren,7.6,mySTAY Hotel BGC West
Camille,8.8,mySTAY Hotel BGC West
Dada,4.0,mySTAY Hotel BGC West
Emz,8.8,mySTAY Hotel BGC West
Juji,8.8,mySTAY Hotel BGC West
Elaine,10.0,mySTAY Hotel BGC West
GRAHAM,10.0,Capital O 804 The Residences at Bonifacio Civic Center
Jennifer,10.0,Capital O 804 The Residences at Bonifacio Civic Center
donald,9.2,Capital O 804 The Residences at Bonifacio Civic Center
Mariecel,9.6,Capital O 804 The Residences at Bonifacio Civic Center
Mel,10.0,Capital O 804 The Residences at Bonifacio Civic Center
Ana,9.6,Capital O 804 The Residences at Bonifacio Civic Center
Maria,9.6,Capital O 804 The Residences at Bonifacio Civic Center
Ranel,9.2,Capital O 804 The Residences at Bonifacio Civic Center
norae,8.8,Capital O 804 The Residences at Bonifacio Civic Center
Bharath,8.4,Capital O 804 The Residences at Bonifacio Civic Center
Maria,8.4,Capital O 804 The Residences at Bonifacio Civic Center
Grace,8.0,Capital O 804 The Residences at Bonifacio Civic Center
donald,7.6,Capital O 804 The Residences at Bonifacio Civic Center
Diane,6.8,Capital O 804 The Residences at Bonifacio Civic Center
JINSAM,7.6,Capital O 804 The Residences at Bonifacio Civic Center
Rogelio,6.4,Capital O 804 The Residences at Bonifacio Civic Center
Stephen,4.4,Capital O 804 The Residences at Bonifacio Civic Center
Misa,4.0,Capital O 804 The Residences at Bonifacio Civic Center
Grace,4.4,Capital O 804 The Residences at Bonifacio Civic Center
Maryanne,3.2,Capital O 804 The Residences at Bonifacio Civic Center
Sandip,10.0,F1 Hotel Manila
Duane,10.0,F1 Hotel Manila
Peter,10.0,F1 Hotel Manila
Ma.,10.0,F1 Hotel Manila
Lyra,10.0,F1 Hotel Manila
Desiree,9.6,F1 Hotel Manila
IRENE,10.0,F1 Hotel Manila
Airees,10.0,F1 Hotel Manila
vivien,10.0,F1 Hotel Manila
Shien,9.6,F1 Hotel Manila
SUSANA,10.0,F1 Hotel Manila
EDUARDO,10.0,F1 Hotel Manila
Michael,10.0,F1 Hotel Manila
Dyan,10.0,F1 Hotel Manila
Gabrielle,10.0,F1 Hotel Manila
Melissa,10.0,F1 Hotel Manila
Zander,10.0,F1 Hotel Manila
Annalee,10.0,F1 Hotel Manila
Maria,10.0,F1 Hotel Manila
Baby,10.0,F1 Hotel Manila
Aaron,10.0,RedDoorz at DBuilders Rooms Lower Bicutan
Gennie,10.0,RedDoorz at DBuilders Rooms Lower Bicutan
cristel,9.6,RedDoorz at DBuilders Rooms Lower Bicutan
Princess,10.0,RedDoorz at DBuilders Rooms Lower Bicutan
Gennie,10.0,RedDoorz at DBuilders Rooms Lower Bicutan
Jeikee,8.4,RedDoorz at DBuilders Rooms Lower Bicutan
Meynard,10.0,RedDoorz at DBuilders Rooms Lower Bicutan
Armidab,8.4,RedDoorz at DBuilders Rooms Lower Bicutan
Rhoebe,8.4,RedDoorz at DBuilders Rooms Lower Bicutan
Lawrence,7.6,RedDoorz at DBuilders Rooms Lower Bicutan
Lawrence,7.6,RedDoorz at DBuilders Rooms Lower Bicutan
Lawrence,7.2,RedDoorz at DBuilders Rooms Lower Bicutan
Tim,5.6,RedDoorz at DBuilders Rooms Lower Bicutan
Juno,6.4,RedDoorz at DBuilders Rooms Lower Bicutan
Marven,5.6,RedDoorz at DBuilders Rooms Lower Bicutan
Edrian,5.2,RedDoorz at DBuilders Rooms Lower Bicutan
Jaclyn,4.8,RedDoorz at DBuilders Rooms Lower Bicutan
Inocencio,5.2,RedDoorz at DBuilders Rooms Lower Bicutan
Van,4.4,RedDoorz at DBuilders Rooms Lower Bicutan
Mariz,3.2,RedDoorz at DBuilders Rooms Lower Bicutan
Maria,10.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Kenneth,9.6,RedDoorz @ DBuilders Rooms Ph2 Taguig
Kenneth,9.6,RedDoorz @ DBuilders Rooms Ph2 Taguig
Jasmin,9.6,RedDoorz @ DBuilders Rooms Ph2 Taguig
Shan,6.4,RedDoorz @ DBuilders Rooms Ph2 Taguig
karissma,6.4,RedDoorz @ DBuilders Rooms Ph2 Taguig
Francis,5.6,RedDoorz @ DBuilders Rooms Ph2 Taguig
Rodessa,4.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Emil,3.6,RedDoorz @ DBuilders Rooms Ph2 Taguig
Marvin,2.4,RedDoorz @ DBuilders Rooms Ph2 Taguig
SevScribe,2.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Jose,2.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Greg,2.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
sherdan,2.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Brian,9.2,RedDoorz @ DBuilders Rooms Ph2 Taguig
Johnson,8.4,RedDoorz @ DBuilders Rooms Ph2 Taguig
Michael,2.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
IamDavidave,10.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Atal,10.0,RedDoorz @ DBuilders Rooms Ph2 Taguig
Sheena,9.6,MySpace Hotel @Comembo
jackie,8.4,MySpace Hotel @Comembo
Clarissa,8.0,MySpace Hotel @Comembo
RO-AN,8.0,MySpace Hotel @Comembo
Mark,10.0,MySpace Hotel @Comembo
lovinnn,8.4,MySpace Hotel @Comembo
Nerissa,8.8,MySpace Hotel @Comembo
Michelle,10.0,MySpace Hotel @Comembo
Kass,9.2,MySpace Hotel @Comembo
ABHIROOP,10.0,MySpace Hotel @Comembo
Jamicha,10.0,MySpace Hotel @Comembo
HAZEL,9.6,MySpace Hotel @Comembo
Pau,8.4,MySpace Hotel @Comembo
Marilyn,9.6,MySpace Hotel @Comembo
Maisie,10.0,MySpace Hotel @Comembo
Angie,10.0,MySpace Hotel @Comembo
Vilma,9.2,MySpace Hotel @Comembo
Noriza,10.0,MySpace Hotel @Comembo
Aldrin,10.0,MySpace Hotel @Comembo
Aldrin,10.0,MySpace Hotel @Comembo
Eden,10.0,Avant Serviced Suites - Personal Concierge
Christopher,10.0,Avant Serviced Suites - Personal Concierge
Kevin,10.0,Avant Serviced Suites - Personal Concierge
Cherrie,10.0,Avant Serviced Suites - Personal Concierge
Fatima,10.0,Avant Serviced Suites - Personal Concierge
Daryl,10.0,Avant Serviced Suites - Personal Concierge
Noriel,10.0,Avant Serviced Suites - Personal Concierge
Cheena,9.6,Avant Serviced Suites - Personal Concierge
Liezl,10.0,Avant Serviced Suites - Personal Concierge
Carren,9.6,Avant Serviced Suites - Personal Concierge
Katrina,10.0,Avant Serviced Suites - Personal Concierge
Carmi,10.0,Avant Serviced Suites - Personal Concierge
Bai,9.6,Avant Serviced Suites - Personal Concierge
Ma,10.0,Avant Serviced Suites - Personal Concierge
